====================================================================================================
HADWIGER-NELSON UNIT SPHERE MAPPING OF PI DIGITS
====================================================================================================

UNIFIED MAPPING FORMULA:
  θ(i) = 2π × i / φ    where φ = (1+√5)/2 (golden ratio)
  φ(d) = π × d / 9     where d ∈ {0,1,2,...,9}
  Cartesian: (x,y,z) = (sin(φ)cos(θ), sin(φ)sin(θ), cos(φ))
  Color class: c(d) = d mod 7 (Hadwiger-Nelson chromatic constraint)

====================================================================================================

Index,Digit,X_Coord,Y_Coord,Z_Coord,Theta,Phi,ColorClass
192,4,-0.51442430,-0.83977018,0.17364818,745.57863887,1.39626340,4
193,9,-0.00000000,0.00000000,-1.00000000,749.46186095,3.14159265,2
194,3,0.69610448,-0.51520729,0.50000000,753.34508303,1.04719755,3
195,0,-0.00000000,-0.00000000,1.00000000,757.22830510,0.00000000,0
196,3,0.57409202,0.64839676,0.50000000,761.11152718,1.04719755,3
197,8,0.00579290,-0.34197108,-0.93969262,764.99474926,2.79252680,1
198,1,-0.23526965,0.24824579,0.93969262,768.87797134,0.34906585,1
199,9,0.00000000,-0.00000000,-1.00000000,772.76119341,3.14159265,2
200,6,-0.67825516,-0.53848856,-0.50000000,776.64441549,2.09439510,6
201,4,0.15508612,0.97251972,0.17364818,780.52763757,1.39626340,4
202,4,0.54257195,-0.82186495,0.17364818,784.41085965,1.39626340,4
203,2,-0.62348697,0.15633267,0.76604444,788.29408172,0.69813170,2
204,8,0.30081171,0.16275777,-0.93969262,792.17730380,2.79252680,1
205,8,-0.11186790,-0.32320791,-0.93969262,796.06052588,2.79252680,1
206,1,-0.13583590,0.31388913,0.93969262,799.94374795,0.34906585,1
207,0,0.00000000,-0.00000000,1.00000000,803.82697003,0.00000000,0
208,9,-0.00000000,-0.00000000,-1.00000000,807.71019211,3.14159265,2
209,7,0.31283272,0.56152614,-0.76604444,811.59341419,2.44346095,0
210,5,0.22771796,-0.95811839,-0.17364818,815.47663626,1.74532925,5
211,6,-0.71679729,0.48600580,-0.50000000,819.35985834,2.09439510,6
212,6,0.85683622,0.12582406,-0.50000000,823.24308042,2.09439510,6
213,5,-0.62181101,-0.76367360,-0.17364818,827.12630250,1.74532925,5
214,9,-0.00000000,0.00000000,-1.00000000,831.00952457,3.14159265,2
215,3,0.62118652,-0.60342962,0.50000000,834.89274665,1.04719755,3
216,3,-0.86565446,0.02534475,0.50000000,838.77596873,1.04719755,3
217,4,0.74532385,0.64369144,0.17364818,842.65919081,1.39626340,4
218,4,-0.11477129,-0.97809706,0.17364818,846.54241288,1.39626340,4
219,6,-0.50658420,0.70240476,-0.50000000,850.42563496,2.09439510,6
220,1,0.33490413,-0.06940463,0.93969262,854.30885704,0.34906585,1
221,2,-0.55221984,-0.32898201,0.76604444,858.19207912,0.69813170,2
222,8,0.09841812,0.32755404,-0.93969262,862.07530119,2.79252680,1
223,4,0.42813325,-0.88687554,0.17364818,865.95852327,1.39626340,4
224,7,-0.59707238,0.23807664,-0.76604444,869.84174535,2.44346095,0
225,5,0.92090959,0.34895821,-0.17364818,873.72496743,1.74532925,5
226,6,-0.38985979,-0.77331064,-0.50000000,877.60818950,2.09439510,6
227,4,-0.26711087,0.94789139,0.17364818,881.49141158,1.39626340,4
228,8,0.29077411,-0.18007830,-0.93969262,885.37463366,2.79252680,1
229,2,-0.63156539,-0.11958707,0.76604444,889.25785574,0.69813170,2
230,3,0.51859695,0.69358288,0.50000000,893.14107781,1.04719755,3
231,3,0.08611125,-0.86173363,0.50000000,897.02429989,1.04719755,3
232,7,-0.47917332,0.42844935,-0.76604444,900.90752197,2.44346095,0
233,8,0.34199527,0.00412460,-0.93969262,904.79074405,2.79252680,1
234,6,-0.63147902,-0.59265019,-0.50000000,908.67396612,2.09439510,6
235,7,0.04847006,0.64095754,-0.76604444,912.55718820,2.44346095,0
236,8,0.21135650,-0.26889814,-0.93969262,916.44041028,2.79252680,1
237,3,-0.85454401,0.14055082,0.50000000,920.32363236,1.04719755,3
238,1,0.28634653,0.18703861,0.93969262,924.20685443,0.34906585,1
239,6,-0.21472179,-0.83898424,-0.50000000,928.09007651,2.09439510,6
240,5,-0.46441142,0.86842867,-0.17364818,931.97329859,1.74532925,5
241,2,0.60639932,-0.21320360,0.76604444,935.85652067,0.69813170,2
242,7,-0.59115695,-0.25240716,-0.76604444,939.73974274,2.44346095,0
243,1,0.14121754,0.31150503,0.93969262,943.62296482,0.34906585,1
244,2,0.19975837,-0.61096031,0.76604444,947.50618690,0.69813170,2
245,0,-0.00000000,0.00000000,1.00000000,951.38940898,0.00000000,0
246,1,0.33313287,0.07746143,0.93969262,955.27263105,0.34906585,1
247,9,-0.00000000,-0.00000000,-1.00000000,959.15585313,3.14159265,2
248,0,-0.00000000,0.00000000,1.00000000,963.03907521,0.00000000,0
249,9,0.00000000,-0.00000000,-1.00000000,966.92229729,3.14159265,2
250,1,-0.34153281,-0.01825158,0.93969262,970.80551936,0.34906585,1
251,4,0.68963263,0.70303140,0.17364818,974.68874144,1.39626340,4
252,5,-0.03362275,-0.98423362,-0.17364818,978.57196352,1.74532925,5
253,6,-0.56284866,0.65818036,-0.50000000,982.45518560,2.09439510,6
254,4,0.97752554,-0.11954135,0.17364818,986.33840767,1.39626340,4
255,8,-0.27837398,-0.19871010,-0.93969262,990.22162975,2.79252680,1
256,5,0.20454451,0.96333164,-0.17364818,994.10485183,1.74532925,5
257,6,0.43960153,-0.74615715,-0.50000000,997.98807390,2.09439510,6
258,6,-0.82817040,0.25324649,-0.50000000,1001.87129598,2.09439510,6
259,9,0.00000000,0.00000000,-1.00000000,1005.75451806,3.14159265,2
260,2,-0.24098649,-0.59590387,0.76604444,1009.63774014,0.69813170,2
261,3,-0.30291445,0.81132166,0.50000000,1013.52096221,1.04719755,3
262,4,0.87720325,-0.44761676,0.17364818,1017.40418429,1.39626340,4
263,6,-0.83469766,-0.23082422,-0.50000000,1021.28740637,2.09439510,6
264,0,0.00000000,0.00000000,1.00000000,1025.17062845,0.00000000,0
265,3,0.15696635,-0.85168161,0.50000000,1029.05385052,1.04719755,3
266,4,-0.78582711,0.59356723,0.17364818,1032.93707260,1.39626340,4
267,8,0.34048704,0.03234739,-0.93969262,1036.82029468,2.79252680,1
268,6,-0.58039074,-0.64276480,-0.50000000,1040.70351676,2.09439510,6
269,1,-0.00245620,0.34201132,0.93969262,1044.58673883,0.34906585,1
270,0,0.00000000,-0.00000000,1.00000000,1048.46996091,0.00000000,0
271,4,-0.98162997,0.07905004,0.17364818,1052.35318299,1.39626340,4
272,5,0.77722093,0.60479248,-0.17364818,1056.23640507,1.74532925,5
273,4,-0.16456707,-0.97096034,0.17364818,1060.11962714,1.39626340,4
274,3,-0.47005573,0.72735659,0.50000000,1064.00284922,1.04719755,3
275,2,0.62193205,-0.16240824,0.76604444,1067.88607130,0.69813170,2
276,6,-0.76566654,-0.40466623,-0.50000000,1071.76929338,2.09439510,6
277,6,0.29123057,0.81558860,-0.50000000,1075.65251545,2.09439510,6
278,4,0.38228732,-0.90758070,0.17364818,1079.53573753,1.39626340,4
279,8,-0.31081243,0.14273546,-0.93969262,1083.41895961,2.79252680,1
280,2,0.61192752,0.19677556,0.76604444,1087.30218169,0.69813170,2
281,1,-0.16936194,-0.29714359,0.93969262,1091.18540376,0.34906585,1
282,3,-0.19202195,0.84446881,0.50000000,1095.06862584,1.04719755,3
283,3,0.71202149,-0.49297606,0.50000000,1098.95184792,1.04719755,3
284,9,-0.00000000,-0.00000000,-1.00000000,1102.83507000,3.14159265,2
285,3,0.55333747,0.66619640,0.50000000,1106.71829207,1.04719755,3
286,6,0.04199538,-0.86500658,-0.50000000,1110.60151415,2.09439510,6
287,0,-0.00000000,0.00000000,1.00000000,1114.48473623,0.00000000,0
288,7,0.64229817,-0.02507930,-0.76604444,1118.36795831,2.44346095,0
289,2,-0.49055151,-0.41537348,0.76604444,1122.25118038,0.69813170,2
290,6,0.10931512,0.85909848,-0.50000000,1126.13440246,2.09439510,6
291,0,0.00000000,-0.00000000,1.00000000,1130.01762454,0.00000000,0
